CALENDAR_YEAR,COUNTY,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,
2015,Albany,"OTHER TRAFFIC, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,POLICE,Contractual,933951.72,
2015,Albany,TAX SALE CERTIFICATES,BALANCE SHEET,CURRENT ASSETS,,,,1024162.12,
2015,Albany,"ST AID, EDUCATION OF HANDICAPPED CHILD",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - EDUCATION,,6190780.11,
2015,Albany,PROPERTY ACQUIRED FOR TAXES,BALANCE SHEET,CURRENT ASSETS,,,,5241423.79,
2015,Albany,"ST AID, CIVIL DEFENSE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,125735.55,
2015,Albany,"ST AID, PROBATION SERVICES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,1879235.03,
2015,Albany,"ST AID, NAVIGATION LAW ENFORCEMENT",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,14843.7,
2015,Albany,"ST AID, UNIFIED COURT BUDGET SEC COSTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - GENERAL GOVERNMENT,,1890833.69,
2015,Albany,"ST AID, OTHER PUBLIC SAFETY",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,1232915.91,
2015,Albany,"ST AID, PUBLIC HEALTH",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,3001249.86,
2015,Albany,ALLOWANCE FOR UNCOLLECTIBLE TAXES,BALANCE SHEET,CURRENT ASSETS,,,,-7845089.42,
2015,Albany,ST AID HANDICAPPED CHILDREN,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,2753.83,
2015,Albany,EARLY INTERVENTION STATE AID,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,102110.41,
2015,Albany,"ST AID, NARCOTIC ADDICTION CONTROL",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,2827728,
2015,Albany,"ST AID, MENTAL HEALTH",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - HEALTH,,9468194.2,
2015,Albany,"ST AID, FAMILY ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,356947.74,
2015,Albany,"ST AID, SOCIAL SERVICES ADMINISTRATION",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,9522963.81,
2015,Albany,"ST AID, CHILD CARE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,2813109.69,
2015,Albany,"ST AID, SAFETY NET",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,3218999.46,
2015,Albany,"ST AID, EMERGENCY AID FOR ADULTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,252080.06,
2015,Albany,"DEMO OF UNSAFE BUILDINGS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,MISCELLANEOUS PUBLIC SAFETY,Contractual,672782.45,
2015,Albany,"ST AID, DAY CARE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,,
2015,Albany,"ST AID, SERVICES FOR RECIPIENTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,27073,
2015,Albany,"ST AID, OTHER SOCIAL SERVICES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - SOCIAL SERVICES,,5475649.08,
2015,Albany,"ST AID, VETERANS SERVICE AGENCIES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - COMMUNITY SERVICES,,17058,
2015,Albany,"ST AID, PROGRAMS FOR AGING",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - COMMUNITY SERVICES,,1781838.74,
2015,Albany,"ST AID, DISASTER ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - PUBLIC SAFETY,,191801.18,
2015,Albany,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,3805365.32,
2015,Albany,"ST AID, YOUTH PROGRAMS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - CULTURE AND RECREATION,,553528.26,
2015,Albany,DUE FROM OTHER FUNDS,BALANCE SHEET,CURRENT ASSETS,,,,4017363.92,
2015,Albany,"STATE AND FEDERAL, SOCIAL SERVICES",BALANCE SHEET,CURRENT ASSETS,,,,23210023.14,
2015,Albany,"PUBLIC HEALTH, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH ADMINISTRATION,Personal Services,4334723.74,
2015,Albany,"PUBLIC HEALTH, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH ADMINISTRATION,Equipment and Capital Outlay,16909.36,
2015,Albany,"PUBLIC HEALTH, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH ADMINISTRATION,Contractual,1418216.59,
2015,Albany,"PHYSICALLY HANDICAPPED, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,4624.2,
2015,Albany,"EARLY INTERVENTION PGM,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Personal Services,1281105.18,
2015,Albany,"EARLY INTERVENTION PGM,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,1280193.67,
2015,Albany,"STATE & FEDERAL, OTHER",BALANCE SHEET,CURRENT ASSETS,,,,35320441.55,
2015,Albany,"NARC ADDIC CONTROL SERV, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,6310286.67,
2015,Albany,TOWNS & CITIES,BALANCE SHEET,CURRENT ASSETS,,,,493407.48,
2015,Albany,"MENTAL HEALTH ADMIN,PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MENTAL HEALTH SERVICES,Personal Services,4496933.34,
2015,Albany,"MENTAL HEALTH ADMIN,EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MENTAL HEALTH SERVICES,Equipment and Capital Outlay,2444.04,
2015,Albany,"MENTAL HEALTH ADMIN,CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MENTAL HEALTH SERVICES,Contractual,3108535.82,
2015,Albany,CONTRACTED MENTAL HEALTH SERVICE,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,MENTAL HEALTH SERVICES,Contractual,6647517.17,
2015,Albany,FED AID  OTHER PUBLIC SAFETY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - PUBLIC SAFETY,,984762.31,
2015,Albany,DUE FROM OTHER GOVERNMENTS,BALANCE SHEET,CURRENT ASSETS,,,,3644318.6,
2015,Albany,"FED AID, PUBLIC HEALTH",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - HEALTH,,2092951.05,
2015,Albany,INVENTORY,BALANCE SHEET,CURRENT ASSETS,,,,62130.52,
2015,Albany,EARLY INTERVENTION FEDERAL,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,241057,
2015,Albany,FED AID NARCOTICS ADD CONT,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - HEALTH,,3537255,
2015,Albany,"FED AID, MENTAL HEALTH",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - HEALTH,,481567,
2015,Albany,FED AID-OTHER HEALTH CAPITAL PROJECTS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - HEALTH,,438229.75,
2015,Albany,"FED AID, FAMILY ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,11259953.96,
2015,Albany,"FED AID, SOCIAL SERVICES ADMINISTRATION",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,18297640.37,
2015,Albany,"RAPE CRISIS CENTER, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Personal Services,475710.05,
2015,Albany,"RAPE CRISIS CENTER, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Equipment and Capital Outlay,5478.73,
2015,Albany,"RAPE CRISIS CENTER, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,HEALTH,PUBLIC HEALTH SERVICES,Contractual,192457.65,
2015,Albany,FLEXIBLE FUND FOR FAMILY SERVICES (FFFS),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,10040082,
2015,Albany,"FED AID, SAFETY NET",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,177529,
2015,Albany,"FED AID, HOME ENERGY ASSISTANCE",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,4956970,
2015,Albany,"FED AID, SERVICES FOR RECIPIENTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,2463767,
2015,Albany,FED AID OTHER SOCIAL SERVICES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - SOCIAL SERVICES,,14696607.97,
2015,Albany,"FED AID, PROGRAMS FOR AGING",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - COMMUNITY SERVICES,,1003929.46,
2015,Albany,FED AID MARKET RESEARCH-TOURISM,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - ECONOMIC DEVELOPMENT,,168034,
2015,Albany,"FED AID, COMMUNITY DEVELOPMENT ACT",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - ECONOMIC DEVELOPMENT,,132606.43,
2015,Albany,"FED AID, OTHER HOME AND COMM SERVICES",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,FEDERAL AID,FEDERAL AID - COMMUNITY SERVICES,,395591,
2015,Albany,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,1317775.37,
2015,Albany,"BUS OPERATIONS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,BUS SERVICE,Contractual,1243242,
2015,Albany,ACCOUNTS PAYABLE,BALANCE SHEET,LIABILITIES,,,,24706358.16,
2015,Albany,ACCRUED LIABILITIES,BALANCE SHEET,LIABILITIES,,,,1542418.3,
2015,Albany,"ADMIN, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,SOCIAL SERVICE ADMINISTRATION,Personal Services,12591539.87,
2015,Albany,"ADMIN, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,SOCIAL SERVICE ADMINISTRATION,Equipment and Capital Outlay,20785.72,
2015,Albany,"ADMIN, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,SOCIAL SERVICE ADMINISTRATION,Contractual,4346538.02,
2015,Albany,"DAY CARE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,11521509.72,
2015,Albany,"SERVICES FOR RECIPIENTS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,6144824.5,
2015,Albany,MEDICAID,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,MEDICAID,Contractual,65731458,
2015,Albany,"MEDICAL ASSISTANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,MEDICAID,Contractual,143356.18,
2015,Albany,"FAMILY ASSISTANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,19210137.88,
2015,Albany,"CHILD CARE, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,NON-MEDICAID MEDICAL ASSISTANCE,Personal Services,8572645.78,
2015,Albany,"CHILD CARE, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,NON-MEDICAID MEDICAL ASSISTANCE,Equipment and Capital Outlay,67529.84,
2015,Albany,"CHILD CARE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,NON-MEDICAID MEDICAL ASSISTANCE,Contractual,19009759.26,
2015,Albany,"STATE TRAINING SCHOOL, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,YOUTH SERVICES,Contractual,476859.28,
2015,Albany,"SAFETY NET, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,12445894.93,
2015,Albany,"HOME ENERGY ASSISTANCE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,5650159.74,
2015,Albany,"EMERGENCY AID FOR ADULTS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,SOCIAL SERVICES,FINANCIAL ASSISTANCE,Contractual,553306.18,
2015,Albany,DUE TO OTHER FUNDS,BALANCE SHEET,LIABILITIES,,,,3395923.02,
2015,Albany,DUE TO OTHER GOVERNMENTS,BALANCE SHEET,LIABILITIES,,,,34128696.33,
2015,Albany,DUE TO EMPLOYEES' RETIREMENT SYSTEM,BALANCE SHEET,LIABILITIES,,,,13470803.19,
2015,Albany,"VETERANS SERVICE, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Personal Services,140016.97,
2015,Albany,"VETERANS SERVICE, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Contractual,21719.11,
2015,Albany,DUE TO SCHOOL DISTRICTS,BALANCE SHEET,LIABILITIES,,,,10866793.17,
2015,Albany,DUE TO CITY SCHOOL DISTRICTS,BALANCE SHEET,LIABILITIES,,,,6975655.51,
2015,Albany,"CONSUMER AFFAIRS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Personal Services,164235.91,
2015,Albany,"CONSUMER AFFAIRS, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Equipment and Capital Outlay,4416.25,
2015,Albany,"CONSUMER AFFAIRS, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,CONSTITUENT SERVICES,Contractual,16702.89,
2015,Albany,"DUE TO VILLAGE, DELINQUENT TAXES",BALANCE SHEET,LIABILITIES,,,,688347.81,
2015,Albany,"PROGRAMS FOR AGING, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,ELDER SERVICES,Personal Services,481069.03,
2015,Albany,"PROGRAMS FOR AGING, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,ELDER SERVICES,Contractual,3555657.93,
2015,Albany,OTHER LIABILITIES,BALANCE SHEET,LIABILITIES,,,,424484.95,
2015,Albany,OVERPAYMENTS  & CLEARING ACCOUNT,BALANCE SHEET,LIABILITIES,,,,5494611.49,
2015,Albany,DEFERRED TAX REVENUES,BALANCE SHEET,DEFERRED REVENUES,,,,36678283.55,
2015,Albany,"OTHER ECO & DEV, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,ECONOMIC DEVELOPMENT,MISCELLANEOUS ECONOMIC DEVELOPMENT,Contractual,2813946.7,
2015,Albany,"SPECIAL REC FACILITY, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,RECREATION SERVICES,Personal Services,135490.06,
2015,Albany,"SPECIAL REC FACILITY, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,RECREATION SERVICES,Equipment and Capital Outlay,4488,
2015,Albany,"SPECIAL REC FACILITY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,RECREATION SERVICES,Contractual,255192.37,
2015,Albany,"YOUTH PROG, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,YOUTH RECREATION,Personal Services,167281.1,
2015,Albany,"YOUTH PROG, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,CULTURE AND RECREATION,YOUTH RECREATION,Contractual,2006.56,
2015,Albany,PRIOR PERIOD ADJ-INCREASE TO FUND EQUITY,CHANGE IN EQUITY,INCREASE IN EQUITY,,,,701090,
2015,Albany,PRIOR PERIOD ADJ - DECREASE IN FUND EQUITY,CHANGE IN EQUITY,DECREASE IN EQUITY,,,,790000.38,
2015,Albany,"PLANNING, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ZONING AND PLANNING,Personal Services,154698.99,
2015,Albany,"PLANNING, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ZONING AND PLANNING,Equipment and Capital Outlay,1555.65,
2015,Albany,"PLANNING, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ZONING AND PLANNING,Contractual,79107.42,
2015,Albany,FUND EQUITY-BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,46350921.42,
2015,Albany,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,46262011.04,
2015,Albany,FUND EQUITY-END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,49885007.33,
2015,Albany,Not in Spendable Form,BALANCE SHEET,EQUITY - NONSPENDABLE,,,,62130.52,
2015,Albany,"FORESTRY, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,NATURAL RESOURCES,Contractual,297753.77,
2015,Albany,"FLOOD & EROSION CONTROL, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,PUBLIC SAFETY,EMERGENCY RESPONSE,Contractual,1034698,
2015,Albany,"MISC HOME & COMM SERV, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,COMMUNITY SERVICES,MISCELLANEOUS COMMUNITY SERVICES,Contractual,1296940,
2015,Albany,Other Restricted Fund Balance,BALANCE SHEET,EQUITY - RESTRICTED,,,,2078293.94,
2015,Albany,STATE RETIREMENT SYSTEM,STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,RETIREMENT - STATE/LOCAL,Employee Benefits,17796409.97,
2015,Albany,"SOCIAL SECURITY, EMPLOYER CONT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,SOCIAL SECURITY,Employee Benefits,7358963.85,
2015,Albany,"WORKER'S COMPENSATION, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,WORKER'S COMPENSATION,Employee Benefits,1881965.98,
2015,Albany,"UNEMPLOYMENT INSURANCE, EMPL BNFTS",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,UNEMPLOYMENT INSURANCE,Employee Benefits,39609.74,
2015,Albany,"HOSPITAL & MEDICAL (DENTAL) INS, EMPL BNFT",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,EMPLOYEE BENEFITS,MEDICAL INSURANCE,Employee Benefits,37722311.74,
2015,Albany,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,5430896.76,
2015,Albany,Unassigned Fund Balance,BALANCE SHEET,EQUITY - UNASSIGNED,,,,42313686.11,
2015,Albany,"DEBT INTEREST, TAX ANTICIPATION NOTES",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,INTEREST ON DEBT,Debt Interest,34708.32,
2015,Albany,"TRANSFERS, OTHER FUNDS",STATEMENT OF EXPENDITURES AND OTHER USES,OTHER USES,OTHER USES,TRANSFERS,Interfund Transfer,34895252.41,
2015,Albany,CASH,BALANCE SHEET,CURRENT ASSETS,,,,75225.14,
2015,Albany,CASH IN TIME DEPOSITS,BALANCE SHEET,CURRENT ASSETS,,,,119764.86,
2015,Albany,COMMUNITY DEVELOPMENT INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,ECONOMIC DEVELOPMENT FEES,,44400,
2015,Albany,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,102,
2015,Albany,DUE TO OTHER GOVERNMENTS,BALANCE SHEET,LIABILITIES,,,,38865.24,
2015,Albany,FUND EQUITY-BEGINNING OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,157126.27,
2015,Albany,RESTATED FUND EQUITY - BEG OF YEAR,CHANGE IN EQUITY,BEGINNING BALANCE,,,,157126.27,
2015,Albany,FUND EQUITY-END OF YEAR,CHANGE IN EQUITY,ENDING BALANCE,,,,156124.79,
2015,Albany,"ADMINISTRATION, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,ECONOMIC DEVELOPMENT,ECONOMIC DEVELOPMENT ADMINISTRATION,Contractual,400,
2015,Albany,Assigned Unappropriated Fund Balance,BALANCE SHEET,EQUITY - ASSIGNED,,,,156124.76,
2015,Albany,"OTHER DEBT, PRINCIPAL",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,DEBT PRINCIPAL,Debt Principal,38000,
2015,Albany,"OTHER DEBT, INTEREST",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,DEBT SERVICE,INTEREST ON DEBT,Debt Interest,7103.48,
2015,Albany,OTHER GENERAL DEPARTMENTAL INCOME,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES FOR SERVICES,GENERAL GOVERNMENT FEES,,1654732.5,
2015,Albany,CASH,BALANCE SHEET,CURRENT ASSETS,,,,211156.15,
2015,Albany,CASH IN TIME DEPOSITS,BALANCE SHEET,CURRENT ASSETS,,,,5002.4,
2015,Albany,"SNOW REMOVAL SERVICES, OTHER GOVTS",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,CHARGES TO OTHER GOVERNMENTS,TRANSPORTATION CHARGES,,940234.45,
2015,Albany,INTEREST AND EARNINGS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,INTEREST AND EARNINGS,,361.97,
2015,Albany,SALES OF SCRAP & EXCESS MATERIALS,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,USE AND SALE OF PROPERTY,SALE OF PROPERTY,,3644.97,
2015,Albany,INSURANCE RECOVERIES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,COMPENSATION FOR LOSS,,29724.62,
2015,Albany,UNCLASSIFIED (SPECIFY),STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER LOCAL REVENUES,MISCELLANEOUS REVENUES,,7020,
2015,Albany,"ST AID, OTHER AID, (SPECIFY)",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,MISCELLANEOUS STATE AID,,108892.25,
2015,Albany,"ST AID, CONSOLIDATED HIGHWAY AID",STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,STATE AID,STATE AID - TRANSPORTATION,,2729740.53,
2015,Albany,ACCOUNTS RECEIVABLE,BALANCE SHEET,CURRENT ASSETS,,,,506,
2015,Albany,STATE & FEDERAL RECEIVABLES,BALANCE SHEET,CURRENT ASSETS,,,,3749941.4,
2015,Albany,"STREET ADMIN, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,418702.19,
2015,Albany,"STREET ADMIN, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,173961.01,
2015,Albany,"ENGINEERING, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,527199.12,
2015,Albany,"ENGINEERING, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Contractual,307741.01,
2015,Albany,INTERFUND TRANSFERS,STATEMENT OF REVENUES AND OTHER SOURCES,OTHER SOURCES,OTHER SOURCES,TRANSFERS,,8435750,
2015,Albany,"MAINT OF STREETS, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,TRANSPORTATION,HIGHWAYS,Personal Services,2784277.33,
